ЛучшаяПамять;6

Метрики
Память;MAE;MSE;RMSE;MAPE
1;12570651,645312134;670633202398842,8;25896586,6939804;798,0204387118661
2;805189,7961994999;1488171127240,1587;1219906,1960823704;50,91472611029979
3;155602,09476196865;47058513836,04145;216929,74400953285;9,918500662786014
4;26456,02350122763;948505022,4038477;30797,808727307984;1,6938464080131053
5;13500,134226873022;223918245,825098;14963,89808255516;0,8685670747972182
6;3100,772070046992;18314899,932492178;4279,591094075715;0,20244276233279987
7;34148,483989006556;2318609338,714543;48151,94013447997;2,175772179199244
8;295939,46226257563;284009041979,1477;532924,9871972111;18,77977329560609

Прогнозная цена
Дата;Изначальная цена;Прогнозная цена
2021-10-08;22766;22583,7954771475
2021-10-11;22644;22899,955915662176
2021-10-12;22528;23220,54242254888
2021-10-13;22718;22901,56827554063
2021-10-14;22928;22586,975787866955
2021-10-15;23108;22903,180748943512
2021-10-18;23120;23223,81240168293
2021-10-19;23672;23224,241758922024
2021-10-20;23530;23549,368085278526
2021-10-21;23210;23879,045997395606
2021-10-22;22864;23551,02616953002
2021-10-25;23024;23227,51225900656
2021-10-26;22688;22908,442369289187
2021-10-27;22250;22593,755454097412
2021-10-28;22362;22283,391305726556
2021-10-29;22170;22595,346254749253
2021-11-01;22396;22284,96025399133
2021-11-02;22134;22596,937167407563
2021-11-03;22038;22286,529312723967
2021-11-05;21664;22598,528192080226
2021-11-08;21872;22288,09848193225
2021-11-09;22188;21981,933058560982
2021-11-10;21694;21679,97334464241
2021-11-11;22050;21983,480781493072
2021-11-12;22100;21681,499806934113
2021-11-15;22358;21985,028613398576
2021-11-16;22626;22292,806652488736
2021-11-17;22532;22604,89341107215
2021-11-18;22292;22294,37626367738
2021-11-19;22144;21988,12460416051
2021-11-22;21850;21686,07983869834
2021-11-23;22400;21989,672763032293
2021-11-24;22182;22297,515817606065
2021-11-25;22128;22609,668501853303
2021-11-26;21560;22299,08576036167
2021-11-29;21686;22611,260422924755
2021-11-30;21538;22300,655813655165
2021-12-01;21952;21994,317893702977
2021-12-02;22110;21692,188052741145
2021-12-03;21826;21394,20848555642
2021-12-06;21886;21693,715375056563
2021-12-07;21920;21395,714827469063
2021-12-08;21888;21101,807830701564
2021-12-09;22006;21397,221275441527
2021-12-10;21888;21397,616863026036
2021-12-13;20850;21103,68373852395
2021-12-14;20958;21104,073899244675
2021-12-15;21296;21399,519067670102
2021-12-16;21310;21699,100302333864
2021-12-17;21738;21401,0257834948
2021-12-20;21644;21107,04583159829
2021-12-21;21662;20817,104200714584
2021-12-22;21834;21108,531954714723
2021-12-23;21872;21404,039533410105
2021-12-24;21824;21703,684052052507
2021-12-27;22528;22007,523425475116
2021-12-28;22642;21705,21218378818
2021-12-29;22628;21407,053707729767
2021-12-30;22900;21706,74042311787
2022-01-03;23378;21408,560954059907
2022-01-04;23314;21708,268770049155
2022-01-05;23010;22012,172326945874
2022-01-06;23280;22320,330362763634
2022-01-10;23508;22632,802437815168
2022-01-11;23734;22949,6489462241
2022-01-12;24040;23270,931127597825
2022-01-13;22836;23596,71107886381
2022-01-14;22648;23272,56960741947
2022-01-17;21820;22952,880777411432
2022-01-18;20694;22637,583424139993
2022-01-19;22024;22954,496863669272
2022-01-20;22300;23275,846913161397
2022-01-21;22100;22956,11306371391
2022-01-24;21250;23277,48573909792
2022-01-25;21466;22957,729377553354
2022-01-26;21788;22642,36542040737
2022-01-27;22066;22959,345805195622
2022-01-28;22082;23280,763737142708
2022-01-31;21916;23281,1941472868
2022-02-01;21948;23607,117775057854
2022-02-02;21670;23282,833349716002
2022-02-03;21392;23283,26379812268
2022-02-04;21400;23609,216399841735
2022-02-07;21580;23939,73215471185
2022-02-08;22372;24274,87494431143
2022-02-09;22674;23941,417724053965
2022-02-10;22454;23612,541113088904
2022-02-11;21688;23288,182188857627
2022-02-14;22082;22968,278893151233
2022-02-15;22324;23289,8218833069
2022-02-16;22304;23615,86629453113
2022-02-17;21774;23291,461693205194
2022-02-18;21450;22971,513347857715
2022-02-21;19252;22655,960044137035
2022-02-22;21150;22973,13074601367
2022-02-24;18200;22973,555468700015
2022-02-25;19052;22973,980199238547
2022-03-24;20990;22658,393009065057
2022-03-25;21070;22347,140952540063
2022-03-28;20850;22659,988360773707
2022-03-29;20028;22348,71438934504
2022-03-30;20462;22661,58382480926
2022-03-31;20974;22978,83325645323
2022-04-01;21500;23300,524001760732
2022-04-04;21750;23626,718236625846
2022-04-05;20986;23957,479007370202
2022-04-06;21150;23628,381767013612
2022-04-07;21050;23303,805244115527
2022-04-08;21112;22983,68733883482
2022-04-11;21006;23305,44603856637
2022-04-12;20990;22985,305594147652
2022-04-13;20794;22669,56283016736
2022-04-14;20004;22358,157336909775
2022-04-15;20240;22051,02953449067
2022-04-18;19886;21748,12066145816
2022-04-19;19676;21449,372763550116
2022-04-20;20590;21154,72868260602
2022-04-21;20454;21450,882989516896
2022-04-22;19700;21156,218163017817
