ЛучшаяПамять;4

Метрики
Память;MAE;MSE;RMSE;MAPE
1;1504752,1132243364;9422233275397,6;3069565,6493057124;261,07730914466816
2;34628,17380922153;2389418651,217744;48881,68011860624;5,630731594816663
3;26911,350029119625;1681768577,447352;41009,37182458849;4,445026320871782
4;1021,7997322954874;1783281,0490804377;1335,3954654260428;0,16249090388872145
5;1283,468908517742;2165666,323147792;1471,620305359977;0,20168658593005737
6;1912,4640038834905;4097869,6141231526;2024,319543481995;0,2911784564939822
7;5673,680654125178;59110927,05809693;7688,363093539283;0,9234584314186455
8;83331,16683614085;16387993641,65401;128015,59921218199;13,70879210082615

Прогнозная цена
Дата;Изначальная цена;Прогнозная цена
2023-03-09;4105;4063,636199394429
2023-03-10;4085;4122,916650445937
2023-03-13;4066;4061,5838419001543
2023-03-14;4063;4120,834353096811
2023-03-15;4022;4180,949212590516
2023-03-16;4084;4241,941029521065
2023-03-17;4111,5;4178,837605638369
2023-03-20;4228,5;4116,672912887955
2023-03-21;4216,5;4055,4329866370913
2023-03-22;4192,5;4114,593768966189
2023-03-23;4177,5;4053,3847722118207
2023-03-24;4206,5;4112,515675125285
2023-03-27;4322;4051,3375922463338
2023-03-28;4320;3991,0695989865862
2023-03-29;4342;3931,698156786545
2023-03-30;4382,5;3873,2099284873107
2023-03-31;4352,5;3929,712435186145
2023-04-03;4473,5;3987,0392022070882
2023-04-04;4510,5;4045,202253885313
2023-04-05;4540;4104,213789967365
2023-04-06;4585;4043,1592065370155
2023-04-07;4637;4102,140938580916
2023-04-10;4650,5;4161,983097963238
2023-04-11;4620;4222,698236624711
2023-04-12;4670;4284,2990896141655
2023-04-13;4612,5;4346,798577759719
2023-04-14;4618;4410,209810378931
2023-04-17;4640;4344,603207849761
2023-04-18;4599,5;4407,982414344561
2023-04-19;4539,5;4472,286198671613
2023-04-20;4746;4405,7561432664415
2023-04-21;4729,5;4470,027450681881
2023-04-24;4710,5;4403,530996576409
2023-04-25;4689;4338,023748568077
2023-04-26;4659;4401,306973706586
2023-04-27;4700;4465,513376498341
2023-04-28;4674,5;4399,084074089382
2023-05-02;4581;4333,642978824033
2023-05-03;4508,5;4269,175390060811
2023-05-04;4547,5;4331,454253207694
2023-05-05;4509;4267,019224086242
2023-05-08;4564,5;4203,542735153644
2023-05-10;4716;4264,864147092865
2023-05-11;4788,5;4327,080117693468
2023-05-12;4819;4262,710158530686
2023-05-15;5045,5;4324,894706679264
2023-05-16;5086;4387,986404947046
2023-05-17;5097;4451,998486868138
2023-05-18;5075;4516,944379027851
2023-05-19;5078,5;4582,837703878941
2023-05-22;5090;4514,6630762259665
2023-05-23;5173;4580,523121360949
2023-05-24;5192;4647,343934879296
2023-05-25;5203,5;4715,139532500017
2023-05-26;5296,5;4783,924134403862
2023-05-29;5538,5;4853,712168216022
2023-05-30;5530;4924,518272032333
2023-05-31;5569;4851,260779347852
2023-06-01;5684;4779,093070463117
2023-06-02;5383;4848,810628564507
2023-06-05;5166,5;4919,54522856819
2023-06-06;5149,5;4846,361715240688
2023-06-07;5101;4917,060590420765
2023-06-08;5065;4988,790822987149
2023-06-09;5077;5061,567458413415
2023-06-13;5264;4986,271212044996
2023-06-14;5246;4912,095078124698
2023-06-15;5302,5;4983,75287364353
2023-06-16;5260,5;5056,456015308344
2023-06-19;5194;5130,219752661176
2023-06-20;5150,5;5053,902229760555
2023-06-21;5125;5127,628712410522
2023-06-22;5137;5202,430719278573
2023-06-23;5030;5125,038980776243
2023-06-26;5048,5;5048,798527415725
2023-06-27;5138;5122,450557097417
2023-06-28;5108;5197,17702487498
2023-06-29;5124;5272,993604684717
2023-06-30;5079;5349,916199114802
2023-07-03;5095,5;5427,960942740858
2023-07-04;5209;5507,144205510197
2023-07-05;5298,5;5587,482596175433
2023-07-06;5347;5504,362797892086
2023-07-07;5439,5;5584,660613296627
2023-07-10;5436;5666,129815725514
2023-07-11;5439;5581,840055672796
2023-07-12;5500;5498,80419623316
2023-07-13;5498;5579,020922584108
2023-07-14;5514;5660,40785302977
2023-07-17;5503;5742,982058543815
2023-07-18;5537,5;5826,760859131803
2023-07-19;5518;5911,761827464077
2023-07-20;5394;5823,818027704529
2023-07-21;5505;5737,182486319029
2023-07-24;5545,5;5820,876682567327
2023-07-25;5633,5;5734,284896846435
2023-07-26;5626;5648,981256840223
2023-07-27;5668;5564,946599999168
2023-07-28;5896;5482,162048837228
2023-07-31;5938;5562,13599902523
2023-08-01;6008;5643,276611681744
2023-08-02;6069,5;5725,600906115083
2023-08-03;6155;5809,126149911761
2023-08-04;6103;5893,86986255838
2023-08-07;6048,5;5979,849819116356
2023-08-08;6124,5;5890,89313743114
2023-08-09;6171,5;5976,829669430534
2023-08-10;6252;5887,917915712134
2023-08-11;6284,5;5800,3288197214115
2023-08-14;6127,5;5884,944196642059
2023-08-15;6131,5;5970,793945308509
2023-08-16;6094,5;5881,971979461997
2023-08-17;6162;5794,471335652236
2023-08-18;6277,5;5708,272357796318
2023-08-21;6265,5;5623,355682216656
2023-08-22;6606,5;5539,702233291141
2023-08-23;6412,5;5457,29321916801
2023-08-24;6561,5;5376,110127544456
2023-08-25;6566;5454,536989011757
2023-08-28;6662;5373,394899268865
2023-08-29;6779,5;5293,459885166143
2023-08-30;6837;5370,681042331364
2023-08-31;6830;5449,028704135005
2023-09-01;6819;5367,96855603935
2023-09-04;6850;5288,11426461395
2023-09-05;6916;5365,257439700575
2023-09-06;6867,5;5443,525981820637
2023-09-07;6666,5;5522,936307863362
2023-09-08;6625;5440,7767048686965
2023-09-11;6456;5520,146924373883
2023-09-12;6729;5600,674999105633
2023-09-13;6610;5517,358949674912
2023-09-14;6519;5435,282315867102
2023-09-15;6553;5354,426660045076
2023-09-18;6526;5432,53720241523
2023-09-19;6344;5351,722383100962
2023-09-20;6423;5272,109770928118
2023-09-21;6379;5349,019471963919
2023-09-22;6495;5269,4470684941225
2023-09-25;6449;5346,31792594414
2023-09-26;6386;5424,310177849457
2023-09-27;6490;5343,6177443521665
2023-09-28;6645,5;5421,5706059245795
2023-09-29;6677;5340,918926498887
2023-10-02;6720;5261,467027333748
2023-10-03;6754,5;5338,22147169554
2023-10-04;6660,5;5416,095612274885
2023-10-05;6721,5;5495,105783234972
2023-10-06;6797;5575,2685570222675
2023-10-09;6863,5;5656,600747842604
2023-10-10;6853,5;5572,452742898134
2023-10-11;6890,5;5489,556529807426
2023-10-12;7120;5407,893486823641
2023-10-13;7244;5486,784004922972
2023-10-16;7335;5566,825380349863
2023-10-17;7384,5;5648,034401846744
2023-10-18;7488;5730,428103070738
2023-10-19;7486;5814,023766166489
2023-10-20;7491,5;5727,533924929376
2023-10-23;7462,5;5642,330712873373
2023-10-24;7444;5724,641208505526
2023-10-25;7437,5;5724,676925246719
2023-10-26;7228,5;5639,516214126197
2023-10-27;7318;5721,785651763236
2023-10-30;7248;5636,667951437753
2023-10-31;7150,5;5718,895838530256
2023-11-01;7240;5633,821127277019
2023-11-02;7253,5;5716,007484810271
2023-11-03;7238;5630,975740917459
2023-11-06;7376;5547,2089354434065
2023-11-07;7333,5;5628,131791632907
2023-11-08;7295;5710,2351529611315
2023-11-09;7260;5625,289278697561
2023-11-10;7288,5;5707,351173358825
2023-11-13;7277,5;5622,448201385985
2023-11-14;7200;5538,808252211439
2023-11-15;7224;5456,412537015998
2023-11-16;7135,5;5536,0108525260375
2023-11-17;7225,5;5616,770350734242
2023-11-20;7194,5;5698,707971009867
2023-11-21;7209;5781,840899834213
2023-11-22;7299;5866,186574405502
2023-11-23;7258;5951,762686296346
2023-11-24;7295;6038,587185164568
2023-11-27;7222,5;6126,678282518154
2023-11-28;7238;6216,054455535139
2023-11-29;7202;6306,7344509392
2023-11-30;7239;6398,737288931803
2023-12-01;7175,5;6492,082267181704
